year,profit_per_gambler,visits_per_gambler,ruin_events_per_gambler,active_share_year_end
422,1138.2297,3.16595,0.001075,0.803143
423,1138.1800,3.16623,0.001155,0.803104
424,1138.8805,3.16610,0.001197,0.803087
425,1138.0836,3.16602,0.001203,0.803010
426,1138.9448,3.16608,0.001146,0.802967
427,1139.3016,3.16722,0.001071,0.802929
428,1138.9617,3.16700,0.001148,0.802899
429,1137.7400,3.16422,0.001184,0.802854
430,1137.0135,3.16215,0.001162,0.802786
431,1137.3950,3.16343,0.001160,0.802739
432,1137.1308,3.16455,0.001107,0.802699
433,1137.3886,3.16320,0.000976,0.802688
434,1137.7788,3.16535,0.001049,0.802670
435,1138.0999,3.16575,0.001143,0.802646
436,1137.3518,3.16485,0.001068,0.802571
437,1136.8639,3.16430,0.001159,0.802541
438,1135.8544,3.16170,0.001008,0.802521
439,1136.6076,3.15977,0.001129,0.802473
440,1137.6473,3.16464,0.001068,0.802444
441,1137.3632,3.16448,0.001116,0.802386
442,1137.3261,3.16233,0.001089,0.802345
443,1136.7913,3.16239,0.001125,0.802340
444,1137.2678,3.16474,0.001073,0.802316
445,1136.5197,3.16217,0.001026,0.802261
446,1136.4276,3.16142,0.001099,0.802223
447,1136.1373,3.16045,0.001065,0.802203
448,1137.5291,3.16155,0.001029,0.802186
449,1135.6000,3.16256,0.001123,0.802138
450,1137.1627,3.16140,0.001102,0.802091
451,1135.8202,3.16191,0.000980,0.802063
452,1135.9330,3.15917,0.000995,0.802056
453,1136.1834,3.15941,0.000939,0.802038
454,1136.2123,3.16169,0.000987,0.801967
455,1136.4619,3.15953,0.001036,0.801929
456,1135.9143,3.16058,0.001016,0.801906
457,1135.1582,3.16022,0.001138,0.801845
458,1135.8624,3.16224,0.000982,0.801830
459,1134.5644,3.15934,0.000970,0.801823
460,1135.8012,3.15966,0.001032,0.801784
461,1134.9835,3.15860,0.001034,0.801762
462,1135.7784,3.15896,0.001064,0.801713
463,1135.4580,3.15979,0.000911,0.801681
464,1135.6051,3.15919,0.000990,0.801656
465,1135.0526,3.15849,0.001067,0.801598
466,1135.0976,3.15876,0.000887,0.801589
467,1134.3976,3.16066,0.000960,0.801558
468,1134.8538,3.15866,0.000982,0.801533
469,1134.6066,3.15701,0.000944,0.801510
470,1134.5091,3.15755,0.000954,0.801469
471,1134.3280,3.15854,0.001000,0.801428
472,1134.8885,3.15901,0.000931,0.801391
473,1133.8838,3.15672,0.000953,0.801374
474,1133.9517,3.15662,0.000939,0.801349
475,1135.1624,3.15985,0.000931,0.801339
476,1133.7366,3.15783,0.000917,0.801330
477,1134.2998,3.15799,0.001017,0.801300
478,1133.8988,3.15804,0.001021,0.801250
479,1133.8760,3.15751,0.000960,0.801243
480,1133.9534,3.15582,0.000942,0.801208
