house_edge,comp_rate,decade,profit_per_gambler_year,active_share
0.0400,0.2571,9,110.340,0.70728
0.0400,0.2571,10,104.614,0.70142
0.0400,0.2571,11,109.186,0.69531
0.0400,0.2571,12,107.884,0.69141
0.0700,0.2571,1,265.146,0.82935
0.0700,0.2571,2,242.222,0.79224
0.0700,0.2571,3,223.790,0.76257
0.0700,0.2571,4,221.103,0.74646
0.0700,0.2571,5,214.897,0.73560
0.0700,0.2571,6,195.682,0.72656
0.0700,0.2571,7,195.484,0.71765
0.0700,0.2571,8,202.175,0.70959
0.0700,0.2571,9,194.102,0.70288
0.0700,0.2571,10,195.645,0.70007
0.0700,0.2571,11,187.269,0.69507
0.0700,0.2571,12,197.995,0.69043
0.1000,0.2571,1,367.454,0.81824
0.1000,0.2571,2,327.160,0.77686
0.1000,0.2571,3,315.001,0.75635
0.1000,0.2571,4,283.712,0.74011
0.1000,0.2571,5,281.630,0.73108
0.1000,0.2571,6,282.530,0.71777
0.1000,0.2571,7,273.231,0.71130
0.1000,0.2571,8,271.026,0.70496
0.1000,0.2571,9,275.738,0.69849
0.1000,0.2571,10,254.937,0.69617
0.1000,0.2571,11,263.388,0.69189
0.1000,0.2571,12,265.433,0.68616
0.1300,0.2571,1,458.215,0.81055
0.1300,0.2571,2,417.819,0.77722
0.1300,0.2571,3,391.269,0.75024
0.1300,0.2571,4,367.993,0.73865
0.1300,0.2571,5,357.096,0.72498
0.1300,0.2571,6,354.648,0.71924
0.1300,0.2571,7,341.579,0.71008
0.1300,0.2571,8,333.095,0.70447
0.1300,0.2571,9,338.145,0.69812
0.1300,0.2571,10,331.276,0.69434
0.1300,0.2571,11,325.054,0.69080
0.1300,0.2571,12,324.427,0.68701
0.1600,0.2571,1,533.509,0.79944
0.1600,0.2571,2,481.922,0.76660
0.1600,0.2571,3,438.135,0.75049
0.1600,0.2571,4,432.713,0.73193
0.1600,0.2571,5,435.773,0.72461
0.1600,0.2571,6,422.870,0.71533
0.1600,0.2571,7,401.857,0.70850
0.1600,0.2571,8,401.990,0.70068
0.1600,0.2571,9,393.928,0.69702
0.1600,0.2571,10,392.718,0.69189
0.1600,0.2571,11,401.183,0.68726
0.1600,0.2571,12,387.148,0.68262
0.1900,0.2571,1,627.702,0.79419
0.1900,0.2571,2,539.984,0.76624
0.1900,0.2571,3,522.085,0.74170
0.1900,0.2571,4,497.210,0.73010
0.1900,0.2571,5,486.963,0.71851
0.1900,0.2571,6,483.684,0.71033
0.1900,0.2571,7,469.069,0.70142
0.1900,0.2571,8,465.850,0.69653
0.1900,0.2571,9,462.269,0.69165
0.1900,0.2571,10,450.278,0.68872
0.1900,0.2571,11,447.875,0.68506
0.1900,0.2571,12,435.781,0.68054
0.2200,0.2571,1,687.840,0.79004
0.2200,0.2571,2,616.765,0.75781
0.2200,0.2571,3,570.476,0.73682
0.2200,0.2571,4,549.765,0.72510
0.2200,0.2571,5,547.038,0.71423
0.2200,0.2571,6,541.502,0.70581
0.2200,0.2571,7,524.655,0.70007
0.2200,0.2571,8,513.774,0.69360
0.2200,0.2571,9,512.524,0.69055
0.2200,0.2571,10,513.579,0.68628
